step,x,y,u
0,17,15,6.870841095762e-03
0,18,15,1.156657950095e-02
0,19,15,1.785257293925e-02
0,20,15,2.526373232434e-02
0,21,15,3.277894960358e-02
0,22,15,3.899360428906e-02
0,23,15,4.252972297678e-02
0,24,15,4.252972297678e-02
0,25,15,3.899360428906e-02
0,26,15,3.277894960358e-02
0,27,15,2.526373232434e-02
0,28,15,1.785257293925e-02
0,29,15,1.156657950095e-02
0,30,15,6.870841095762e-03
0,31,15,3.742102578013e-03
0,32,15,1.868625615453e-03
0,33,15,8.555191474153e-04
0,34,15,3.591186800934e-04
0,35,15,1.382124242728e-04
0,36,15,4.877047656207e-05
0,37,15,1.577857361019e-05
0,38,15,4.680360520688e-06
0,39,15,1.272892421265e-06
0,40,15,3.173985367783e-07
0,41,15,7.256362430333e-08
0,42,15,1.521016194693e-08
0,43,15,2.923139465294e-09
0,44,15,5.150697693369e-10
0,45,15,8.321151163568e-11
0,46,15,1.232541606341e-11
0,47,15,0.000000000000e+00
0,0,16,0.000000000000e+00
0,1,16,2.468283151241e-11
0,2,16,1.666390579457e-10
0,3,16,1.031476768676e-09
0,4,16,5.853868018564e-09
0,5,16,3.045981268956e-08
0,6,16,1.453156391146e-07
0,7,16,6.356211072532e-07
0,8,16,2.549089540333e-06
0,9,16,9.372872246672e-06
0,10,16,3.159811173291e-05
0,11,16,9.766757159092e-05
0,12,16,2.767836772158e-04
0,13,16,7.191697081946e-04
0,14,16,1.713259403386e-03
0,15,16,3.742102578013e-03
0,16,16,7.493920445364e-03
0,17,16,1.375952034744e-02
0,18,16,2.316318828735e-02
0,19,16,3.575149493172e-02
0,20,16,5.059305463831e-02
0,21,16,6.564300028948e-02
0,22,16,7.808844421774e-02
0,23,16,8.516986210479e-02
0,24,16,8.516986210479e-02
0,25,16,7.808844421774e-02
0,26,16,6.564300028948e-02
0,27,16,5.059305463831e-02
0,28,16,3.575149493172e-02
0,29,16,2.316318828735e-02
0,30,16,1.375952034744e-02
0,31,16,7.493920445364e-03
0,32,16,3.742102578013e-03
0,33,16,1.713259403386e-03
0,34,16,7.191697081946e-04
0,35,16,2.767836772158e-04
0,36,16,9.766757159092e-05
0,37,16,3.159811173291e-05
0,38,16,9.372872246672e-06
0,39,16,2.549089540333e-06
0,40,16,6.356211072532e-07
0,41,16,1.453156391146e-07
0,42,16,3.045981268956e-08
0,43,16,5.853868018564e-09
0,44,16,1.031476768676e-09
0,45,16,1.666390579457e-10
0,46,16,2.468283151241e-11
0,47,16,0.000000000000e+00
0,0,17,0.000000000000e+00
0,1,17,4.531992631940e-11
0,2,17,3.059644848379e-10
0,3,17,1.893885275402e-09
